3OH!3 ft. Kesha	My First Kiss
Eminem	Farewell
Eminem	Gnat
Eminem	I Will (feat. KXNG Crooked, Royce Da 5'9" & Joell Ortiz)
Eminem	In Too Deep
Eminem	Killer (feat. Jack Harlow & Cordae) - Remix
Eminem	Leaving Heaven (feat. Skylar Grey)
Eminem	Little Engine
Eminem	Lock It Up (feat. Anderson .Paak)
Eminem	Marsh
Eminem	Never Love Again
Eminem	No Regrets (feat. Don Toliver)
Eminem	Premonition - Intro
Eminem	Stepdad
Eminem	The Real Slim Shady
Eminem	Those Kinda Nights (feat. Ed Sheeran)
Eminem	Unaccommodating (feat. Young M.A)
Eminem	Yah Yah (feat. Royce Da 5'9", Black Thought, Q-Tip & Denaun)
Eminem	You Gon' Learn (feat. Royce Da 5'9" & White Gold)
Eminem	Rap God
Eminem	Survival
Eminem	Berzerk
Eminem	Space Bound
Eminem	Lose Yourself
Eminem	Sing for the Moment
Eminem	Without Me
Eminem Featuring Juice WRLD	Godzilla
Eminem ft. Rihanna	The Monster
Empire Cast, Jussie Smollett & Pitbull	No Doubt About It
Enrique Iglesias feat. Ludacris and DJ Frank E	Tonight (I'm Lovin' You)
Enrique Iglesias ft. Pitbull	I'm a Freak
Enrique Iglesias ft. Usher & Lil Wayne	Dirty Dancer
EXCE$$	Bustdown
Far East Movement feat. Cataracs and Dev	Like A G6
Far East Movement feat. Justin Bieber	Live My Life
Far East Movement ft. Snoop Dogg	If I Was You (OMG)
Fat Joe ft. Chris Brown, Mary J Blige, Fabolous & Kirko Bangz	Another Round
Fat Joe, Remy Ma	All The Way Up
Fergie	L.A. Love (La La)
Fetty Wap	Again
Fetty Wap	Free Gucci
Fetty Wap	Trap Queen
Fetty Wap feat. Remy Boyz	679
Fetty Wap ft. Monty	My Way
Fifth Harmony	Bo$$
Fifth Harmony feat. Fetty Wap	All In My Head (Flex)
Finese 2Tymes	Goin Straight In
Flipp Dinero, Young Forever & Cast Beats	Leave me Alone
Flo Rida f./Sage The Gemini	GDFR (Goin' Down For Real)
Flume f./Tove Lo	Say It
Flume feat. Kai	Never Be Like You
Foo Fighters	Something from Nothing
Foushe	Deep End
FreeSol ft. Justin Timberlake	Fascinated
French Montana	Writing On The Wall  ft. Post Malone & Cardi B
French Montana 	No Stylist
fun.	Some Nights
Future	All Bad (feat. Lil Uzi Vert)
Future	Solitaires (feat. Travis Scott)
Future	Trillionaire (feat. Youngboy Never Broke Again)
Future	Faceshot
Future	Fine China
Future	Jumpin on a Jet
Future	Promise U That
Future	Wicked
Future	F*ck Up Some Commas
Future	Neva End
Future	Same Damn Time
Future 	Crushed Up
Future 	First Off
Future feat. The Weeknd	Low Life
Future Featuring Drake	Life Is Good
Future ft. Kanye West	I won
Future ft. Pharrell, Pusha T & Casino	Move that Dope
Future, Drake, Young Thug	D4L
Future, Lil Uzi Vert	Drankin N Smokin
Future, Lil Uzi Vert	Over Your Head
Future, Lil Uzi Vert	Stripes Like Burberry
Future, Lil Uzi Vert	That's It
G-Eazy	Hate The Way (feat. blackbear)
G-Eazy	Still Be Friends (feat. Tory Lanez & Tyga)
G-Eazy	Him & I
G-Eazy	No Limit
G-Eazy f./Marc E. Bassy	Some Kind Of Drug
G-Eazy ft. Remo	I Mean It
G-Eazy X Bebe Rexha	Me, Myself & I
Gesaffelstein, The Weeknd	Lost in the Fire
Ghoss	Cut Up
Gipp Fe. Cee Lo Green	Shine Like Gold
gnash feat. Olivia O'Brien	I Hate U I Love U
Good Charlotte	Life Can't Get Much Better
Gucci Mane	Wake Up in the Sky
Gucci Mane	Bussin Juugs
Gucci Mane	Gucci Time
Gucci Mane	Lemonade
Gucci Mane feat. Migos	I Get The Bag
Gunna	COOLER THAN A BITCH (feat. Roddy Ricch)
Gunna	DOLLAZ ON MY HEAD (feat. Young Thug)
Gunna	SKYBOX
Gunna	TOP FLOOR (feat. Travis Scott)
Gunna	WUNNA
Gym Class Heroes feat. Adam Levine	Stereo Hearts
Gym Class Heroes feat. Neon Hitch	Ass Back Home
Gzuz	Donuts
H.E.R. Featuring YG	Slide
Hailee Steinfeld and Grey feat. Zedd	Starving
Halsey	Without Me
Halsey	Bad At Love
Halsey 	You Should Be Sad
Havana Brown     	We Run the Night (feat. Pitbull)
Headie One	Ain't It Different (feat. AJ Tracey & Stormzy)
Headie One, Dave	18Hunna
Headie One, Drake	Only You Freestyle
Hippie Sabotage	Devil Eyes
Hoodie Allen ft Ed Sheeran	All About It
Huey	Pop Lock and Drop It
HVME	Goosebumps
I Love Makonnen ft Drake	Tuesday
iann dior	Prospect (ft. Lil Baby)
Icona Pop	Emergency
Icona Pop feat. Charli XCX	I Love It
Iggy Azalea	Team
Iggy Azalea	Fancy (feat. Charli XCX)
Iggy Azalea Ft Rita Ora	Black Widow
Iggy Azalea ft. Jennifer Hudson	Trouble
Iggy Azalea ft. MO	Beg For It
Ilkay Sencan	Do It
Internet Money	His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)
Internet Money, Diplo	Blastoff (feat. Juice Wrld & Trippie Redd)
Internet Money, Gunna, Don Toliver, NAV	Lemonade
IU	eight (Prod.& Feat. SUGA of BTS)
J. Cole	1 0 0 . m i l  (with Bas)
J. Cole	9 5 . s o u t h
J. Cole	a m a r i
J. Cole	a p p l y i n g . p r e s s u r e
J. Cole	c l o s e
J. Cole	h u n g e r . o n . h i l l s i d e (with Bas)
J. Cole	i n t e r l u d e
J. Cole	l e t . g o . m y . h a n d (with Bas & 6LACK)
J. Cole	Lion King On Ice
J. Cole	m y . l i f e (with 21 Savage & Morray)
J. Cole	MIDDLE CHILD
J. Cole	p r i d e . i s . t h e . d e v i l (with Lil Baby)
J. Cole	p u n c h i n' . t h e . c l o c k
J. Cole	Snow On Tha Bluff
J. Cole	t h e . c l i m b . b a c k
J. Cole	No Role Modelz
J. Cole	Apparently
J. Cole	Work Out
J. Cole feat. Miguel	Power Trip
J. Cole ft. Drake	In the Morning
J. Cole ft. TLC	Crooked Smile
J.Cole Ft. Amber Coffman & The Cults	She Knows
Jack Harlow	Tyler Herro
Jack Harlow	Way Out (feat. Big Sean)
Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne	Whats Poppin
JACKBOYS	JACKBOYS
JACKBOYS, Pop Smoke, Travis Scott	GATTI
JACKBOYS, Sheck Wes	GANG GANG
JACKBOYS, Travis Scott	OUT WEST (feat. Young Thug)
JACKBOYS, Travis Scott	WHAT TO DO? (feat. Don Toliver)
Jake Miller	First Flight Home
Jake Miller f./Travie McCoy	Dazed And Confused
Jake Owen	Beachin'
Jamie Foxx ft. Justin Timberlake	Winner
Jason Aldean	Fly Over States
Jason Derulo	Get Ugly
Jason Derulo	Kiss The Sky
Jason Derulo	Want to Want Me
Jason Derulo	Trumpets
Jason Derulo ft. 2 Chainz	Talk Dirty
Jason Derulo ft. Snoop Dogg	Wiggle
Jason Derulo, Maroon 5	Lifestyle (feat. Adam Levine)
Jawsh 685 x Jason Derulo	Savage Love (Laxed - Siren Beat)
Jax Jones	You Don't Know
Jay Rock	King's Dead
Jay Sean ft. Lil Wayne	Hit the Lights
Jay Z and Kanye West	Ni**as In Paris
Jay Z and Kanye West	H.A.M.
Jay Z and Kanye West	Otis
Jay Z and Kanye West ft Mr Hudson	Why I love you So
Jay Z feat. Justin Timberlake	Holy Grail
Jay z ft. Rihanna & Kanye West	Run this Town
Jennifer Lopez feat. Pitbull	Fresh Out the Oven
Jennifer Lopez feat. Pitbull	On The Floor
Jennifer Lopez ft. Lil Wayne	I'm Into You
Jeremih feat. 50 Cent	Down On Me
Jeremih Feat. YG	Don't Tell 'Em
Jerrod Niemann	Donkey
Jessie J	Masterpiece
Jessie J	It's My Party
Jessie J feat. 2 Chainz	Burnin' Up
Jessie J feat. B.O.B	Price Tag
Jessie J ft. Big Sean	Wild
Jessie J, Ariana Grande & Nicki Minaj	Bang Bang
Jhené Aiko	B.S. (feat. H.E.R.)
Jhene Aiko 	P*$$y Fairy (OTW)
Jidenna ft. Roman Gian Arthur	Classic Man
Jimi Jiles & DJ Ricky Ricardo f./Blackout	Turn Up Or Nah
Joe Jonas ft. Lil Wayne	Just in Love
John Travolta & Olivia Newton-John	The Grease MegaMix
Joji	Pretty Boy (feat. Lil Yachty)
Joji	Slow Dancing in the Dark
Joji, Diplo	Daylight
JoJo ft Wiz Khalifa	No Apologies
Jon Bellion	All Time Low
Jonn Hart ft. IamSU	Who Booty
Joyner Lucas, Lil Baby	Ramen & OJ
Juice WRLD	734
Juice WRLD	All Girls Are The Same
Juice WRLD	Anxiety - Intro
Juice WRLD	Bad Boy (with Young Thug)
Juice WRLD	Bad Energy
Juice WRLD	Blood On My Jeans
Juice WRLD	Can't Die
Juice WRLD	Conversations
Juice WRLD	Fighting Demons
Juice WRLD	I Want It
Juice WRLD	Life's A Mess (feat. Halsey)
Juice WRLD	Life's A Mess II (with Clever & Post Malone)
Juice WRLD	Man Of The Year
Juice WRLD	Real Sh*t (with benny blanco)
Juice WRLD	Righteous
Juice WRLD	Screw Juice
Juice WRLD	Smile (with The Weeknd)
Juice WRLD	Stay High
Juice WRLD	Tell Me U Luv Me (with Trippie Redd)
Juice WRLD	The Man, The Myth, The Legend - Interlude
Juice WRLD	Titanic
Juice WRLD	Up Up And Away
Juice WRLD	Wishing Well
Juice WRLD	Armed And Dangerous
Juice WRLD	Bandit (with YoungBoy Never Broke Again)
Juice WRLD	Black & White
Juice WRLD	Empty
Juice WRLD	Fast
Juice WRLD	Hear Me Calling
Juice WRLD	Lean Wit Me
Juice WRLD	Legends
Juice WRLD	Let Me Know (I Wonder Why Freestyle)
Juice Wrld	Lucid Dreams
Juice Wrld	Robbery
Juice WRLD	Wasted (feat. Lil Uzi Vert)
Juice WRLD & YoungBoy Never Broke Again	Bandit
Juice WRLD x Marshmello	Come & Go
Juice WRLD, Polo G	Hate The Other Side (with Marshmello & The Kid Laroi)
Juice WRLD, The Kid LAROI	Reminds Me Of You
Justin Bieber	Die For You (feat. Dominic Fike)
Justin Bieber	Love You Different (feat. BEAM)
Justin Bieber	Loved By You (feat. Burna Boy)
Justin Bieber	Peaches (feat. Daniel Caesar & Giveon)
Justin Bieber	Unstable (feat. The Kid LAROI)
Justin Bieber feat. Nicki Minaj	Beauty And A Beat
Justin Bieber, Kehlani	Get Me
Justin Timberlake	Mirrors
Justin Timberlake	Not a Bad Thing
Justin Timberlake	TKO
Justin Timberlake feat. Jay Z	Suit and Tie
Justin Timberlake ft, timbaland	Sexyback
Juvenille	Back That Thang Up
jxdn	ANGELS & DEMONS
K CAMP	Lottery (Renegade)
Kahlid	Saturday Night
Kane Brown With Swae Lee & Khalid	Be Like That
Kane Brown, blackbear	Memory
Kanye West	Black Skinhead
Kanye West & Pusha T	New God Flow
Kanye West f./Ty Dolla $ign & Post Malone	Fade
Kanye West ft. DJ Khaled	Cold
Kanye West Ft. Dwele	Power
Kanye West ft. Mr Hudson	Paranoid
Kanye West Ft. Raekwon & Justin Bieber	Runaway
Kanye West Ft. Rick Ross, JayZ, Bon Iver & Nicki Minaj	Monster
Kanye West ft. Rihanna & Swiss Beatz	Famous
Kanye West Ft. Rihanna, Alicia Keys	All Of The Lights
Kanye West, Big Sean, Pusha T, 2 Chainz	Mercy
Kanye West, Jay-Z, Big Sean	Clique
Kanye West, Travis Scott	Wash Us In The Blood
Karol G & Nicki Minaj	Tusa
Kat Dahlia	Crazy
Katy Perry	Only Love
Katy Perry	Birthday
Katy Perry feat. Kanye West	E.T.
Katy Perry ft. Snoop Dogg	California Gurls
Katy Tiz	Red Cup
Katy Tiz	Famous
Ke$ha	TiK ToK
Ke$Ha	We R Who We R
Ke$ha ft. 3OH3	Blah Blah Blah
Keep Your Money	Jussie Smollett
Kehlani	Can I
Kehlani	FWU
Kelly Rowland ft. Lil Wayne	Ice
Kendrick Lamar	Sing About Me, I'm Dying of Thirst
Kendrick Lamar	All The Stars
Kendrick Lamar	I
Kendrick Lamar	Swimming Pools (Drank)
Kendrick Lamar Ft. Dr Dre	The Recipe
Kendrick Lamar Ft. Drake	Poetic Justice
Kendrick Lamar, Jay Rock	Money Trees
Kenny Chesney & Tim McGraw	Feel like a Rock Star
Kent Jones	Don't Mind
Kevin Gates	2 Phones
Kevin Gates	Really Really
Keyshia Cole	New Nu
Khalid	Love Lies
Kid Cudi	Another Day
Kid Cudi	Beautiful Trip
Kid Cudi	Damaged
Kid Cudi	Dive
Kid Cudi	Heaven On Earth
Kid Cudi	Sad People
Kid Cudi	She Knows This
Kid Cudi	Show Out (with Skepta & Pop Smoke)
Kid Cudi	Solo Dolo, Pt. III
Kid Cudi	Tequila Shots
Kid Cudi	The Adventures of Moon Man & Slim Shady (with Eminem)
Kid Cudi	The Void
Kid Ink & Nico And Vinz & Bebe Rexha	That's How You Know
Kid Ink Ft. Chris Brown	Show Me
Kid Ink ft. Usher & Tinashe	Kid Ink
Kid Rock	Bawitdaba
Kidd Star	Lonely
Killian Wells	Flatline
Kim Cesarion	Undressed
Kina	Get You The Moon (feat. SnÃ¸w)
Kina, Adriana Proenza	Can We Kiss Forever?
Kirko Bangz	Drank In My Cup
Kodak Black	Calling My Spirit
Kodak Black	Zeze (feat. Travis Scott & Offset)
Kodak Black	No Flockin'
Korn ft. Skrillex	Get Up
Krept & Konan ft. Jeremih	Freak of the Week
KSI	Houdini (feat. Swarmz & Tion Wayne)
KSI	Patience (feat. YUNGBLUD & Polo G)
KSI	Wake Up Call (feat. Trippie Redd)
L.L.Cool J ft. Snoop Dogg & Fatman Scoop	We Came To Party
L.L.Cool J ft. Snoop Dogg, Bootsy Collins & Travis Barker	Bartender Please
Lady Gaga	Bad Romance
Lady Gaga ft. R.Kelly	Do What U Want
Lana Del Rey 	Doin’ Time
Lauv	f**k, i'm lonely (with Anne-Marie)
Lauv	I Like Me Better
Lauv	Modern Loneliness
Lauv	Who (feat. BTS)
Lauv, Conan Gray	Fake
Lauv, LANY	Mean It
Lauv, Troye Sivan	i'm so tired...
Liam Payne	Stack it Up t. A Boogie wit da Hoodie
Lil Baby	Commercial (feat. Lil Uzi Vert)
Lil Baby	Errbody
Lil Baby	Heatin Up (feat. Gunna)
Lil Baby	Live Off My Closet (feat. Future)
Lil Baby	Real As It Gets (feat. EST Gee)
Lil Baby	Close Friends
Lil Baby	Pure Cocaine
Lil Baby	Yes Indeed
Lil Baby 	Emotionally Scarred
Lil Baby 	Sum 2 Prove
Lil Baby 	The Bigger Picture
Lil Baby 	Woah
Lil Baby 	Drip Too Hard
Lil Baby & 42 Dugg	We Paid
Lil Baby, Lil Durk	Hats Off (feat. Travis Scott)
Lil Baby, Lil Durk	Voice of the Heroes
Lil Dicky	Freaky Friday (feat. Chris Brown)
Lil Dicky feat. Fetty Wap & Rich Homie Quan	$ave Dat Money
Lil Jon Fe. Tyga	Bend Ova
Lil Jon ft. LMFAO	Drink
Lil Mosey	Stuck In A Dream (feat. Gunna)
Lil Mosey 	Blueberry Faygo
Lil Nas X	INDUSTRY BABY (feat. Jack Harlow)
Lil Nas X	MONTERO (Call Me By Your Name)
Lil Nas X	SUN GOES DOWN
Lil Nas X	Holiday
Lil Peep	Star Shopping
Lil Pump	Gucci Gang
Lil Pump 	Butterfly Doors
Lil Skies 	Real Ties
Lil Tecca	Dolly (with Lil Uzi Vert)
Lil Tecca	NEVER LEFT
Lil Tecca	Ransom
Lil Tjay	Headshot (feat. Polo G & Fivio Foreign)
Lil Tjay	Run It Up (feat. Offset & Moneybagg Yo)
Lil Tjay	Zoo York (feat. Fivio Foreign & Pop Smoke)
Lil Tjay, 6LACK	Calling My Phone
Lil Uzi Vert	Baby Pluto
Lil Uzi Vert	Bean (Kobe) [feat. Chief Keef]
Lil Uzi Vert	Bigger Than Life
Lil Uzi Vert	Bust Me
Lil Uzi Vert	Celebration Station
Lil Uzi Vert	Chrome Heart Tags
Lil Uzi Vert	Futsal Shuffle 2020
Lil Uzi Vert	Got The Guap (feat. Young Thug)
Lil Uzi Vert	Homecoming
Lil Uzi Vert	I Can Show You
Lil Uzi Vert	I'm Sorry
Lil Uzi Vert	Leaders (feat. NAV)
Lil Uzi Vert	Lo Mein
Lil Uzi Vert	Lotus
Lil Uzi Vert	Moon Relate
Lil Uzi Vert	Myron
Lil Uzi Vert	P2
Lil Uzi Vert	POP
Lil Uzi Vert	Prices
Lil Uzi Vert	Sasuke
Lil Uzi Vert	Secure The Bag
Lil Uzi Vert	Silly Watch
Lil Uzi Vert	Strawberry Peels (feat. Young Thug & Gunna)
Lil Uzi Vert	That Way
Lil Uzi Vert	Trap This Way (This Way)
Lil Uzi Vert	Urgency (feat. Syd)
Lil Uzi Vert	Venetia
Lil Uzi Vert	Wassup (feat. Future)
Lil Uzi Vert	XO Tour Llif3
Lil Uzi Vert	You Better Move
Lil Uzi Vert, 21 Savage	Yessirskiii
Lil Wayne	I Do It (ft. Big Sean, Lil Baby)
lil Wayne	Uproar
Lil Wayne	How To Love
Lil Wayne	Right Above It
Lil Wayne	On Fire
Lil Wayne feat. Cory Gunz	6 Foot 7 Foot
Lil Wayne feat. Drake	Believe Me
Lil Wayne feat. Drake	She Will
Lil Wayne feat. Drake and Future	Love Me
Lil Wayne ft. Eminem	Drop the World
Lil Wayne ft. Nicki Minaj	Knockout
Lil Wayne ft. Rick Ross	John
Lil Yachty	Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)
Lil Yachty	T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)
Lizzo	Good as Hell (feat. Ariana Grande) - Remix
Lizzo	Truth Hurts
Lloyd ft. Andre 3000 & Lil Wayne	Dedication to my Ex (Miss That)
LMFAO	Sorry for Party Rocking
Logic	Hit My Line
Logic	1-800-273-8255
Lorde	Tennis Court (Radio Clean)
Ludacris ft. Nicki Minaj	My Chick Bad
Ludacris ft. Shawnna	How Low Can You Go
Ludacris ft. Usher & David Guetta	Rest of my Life
Luke Bryan	What Makes you Country
Luke Combs 	Even Though I'm Leaving
LunchMoney Lewis	Bills
Lupe Fiasco	Around My Way
Lupe Fiasco	Bitch Bad
Lupe Fiasco	The Show Goes On
Lupe Fiasco & Guy Sebastian	Battle Scars
Lupe Fiasco ft. Ed Sheeran	Old School Love
Lupe fiasco ft. Patrick Stump	This City
Mabel	Don't Call Me Up
Mac Miller	Blue World
Mac Miller	Complicated
Mac Miller	Everybody
Mac Miller	Good News
Mac Miller	Hand Me Downs
Mac Miller	Hands
Mac Miller	I Can See
Mac Miller	Once A Day
Mac Miller	Surf
Mac Miller	That's On Me
Mac Miller	Woods
Machine Gun Kelly	bloody valentine
Machine Gun Kelly	DAYWALKER! (feat. CORPSE)
Machine Gun Kelly	drunk face
Machine Gun Kelly	forget me too (feat. Halsey)
Machine Gun Kelly	love race (feat. Kellin Quinn)
Machine Gun Kelly	my ex's best friend (with blackbear)
Machine Gun Kelly	Swing Life Away
Macklemore & Ryan Lewis ft. Eric Nally	Downtown
Macklemore & Ryan Lewis ft. ScHoolboy Q & Hollis	White Walls
Macklemore and Ryan Lewis feat. Ray Dalton	Can't Hold Us
Macklemore and Ryan Lewis feat. Wanz	Thrift Shop
Madonna ft. Mike Tyson and Chance the Rapper	Iconic
Madonna ft. Nas	Veni Vidi Vici
Majestic, Boney M.	Rasputin
Maneskin	Beggin'
Maneskin	I WANNA BE YOUR SLAVE
Mann ft. Snoop Dogg	The Mack
Manu Crooks & B Wise	Throw it Back
Marc E. Bassy Ft. G-Eazy	You & Me
Mariah Carey feat. Miguel	#Beautiful
Mariah Carey ft. Nicki Minaj	Up Out my Face
MARINA	Bubblegum Bitch
Mario Judah	Die Very Rough
Mark Ronson f./Mystikal	Feel Right
Maroon 5	Sugar
Maroon 5	This Summer's Gonna Hurt
Maroon 5	One More Night
Maroon 5 f./Kendrick Lamar	Don't Wanna Know
Maroon 5 feat. Christina Aguilera	Moves Like Jagger
Maroon 5 feat. Wiz Khalifa	Payphone
Maroon 5 ft. Cardi B	Girls Like You
Marshmello	Friends
Martin Garrix	Animals
Mary J. Blige ft. Rick Ross	Why
Mary Lambert Ft  B O B	Secrets
Masked Wolf	Astronaut In The Ocean
MAX	Blueberry Eyes (feat. SUGA of BTS)
Max f./Hoodie Allen	Gibberish
MEDUZA	Paradise (feat. Dermot Kennedy)
MEDUZA, Becky Hill, Goodboys	Lose Control
MEDUZA, Goodboys	Piece Of Your Heart
Meek Mill	Going Bad (feat. Drake)
Meek Mill ft. Chris Brown & Nicki Minaj	All eyes on You
Megan Thee Stallion	B.I.T.C.H.
Megan Thee Stallion	Cry Baby (feat. DaBaby)
Megan Thee Stallion	Diamonds (with Normani)
Megan Thee Stallion	Girls in the Hood
Megan Thee Stallion	Thot Sh*t
Megan Thee Stallion	Hot Girl Summer ft. Nicki Minaj & Ty Dolla $ign
Megan Thee Stallion 	Savage
Megan Thee Stallion 	Cash Sh*t ft. DaBaby
Meghan Trainor	All about that Bass
Melanie Marinez	Dollhouse
Melanie Martinez	Play Date
Metro Boomin	Space Cadet
Migos	Avalanche
Migos	Having Our Way (feat. Drake)
Migos	Malibu (feat. Polo G)
Migos	Modern Day
Migos	Racks 2 Skinny
Migos	Straightenin
Migos	Stir Fry
Migos	Walk It Talk It
Migos f/ Lil Uzi Vert	Bad and Boujee
Migos, Travis Scott, Young Thug	Give No Fxk
Miguel	Sky Walker
Miguel	Sure Thing
Mike Posner	I took a Pill in Ibiza
Mike Posner ft. Lil Wayne	Bow chicka Wow Wow
Mike Will Made it ft. Miley Cyrus, Wiz Khalifa & Juicy J	23
Miley Cyrus	We Can't Stop
Missy Elliott feat. Pharrell Williams	Wtf (Where They From)
Modest Mouse	Lampshades On Fire
Money Man	24 (feat. Lil Baby)
Moneybagg Yo 	Said Sum
Mustard & Roddy Ricch 	Ballin'
N.E.R.D.	Lemon
Nathaniel Rateliff and the Night Sweats	SOB
NAV	Turks (with Gunna & ft. Travis Scott)
Ne-Yo ft. Juicy J	She Knows
Nelly	Hey Porsche
Nelly & Jeremih	The Fix
Nelly ft. T-Pain & Akon	Move That Body
Neon Jungle	Braveheart
Neon Trees	Everybody Talks
New Boys ft. Lyaz	Break my Bank
New Boyz feat. The Cataracs and Dev	Backseat
New Boyz ft. Ray J	Tie Me Down
NF	CLOUDS
NF, Hopsin	LOST
Nick Cannon ft. Suge Knight, hitman holla	The Invitation
Nick Fradiani	All On You
Nick Jonas	Jealous
Nick Jonas ft. Ty Dolla $ign	Bacon
Nickelback	Edge of a Revolution
Nickelback	What Are You Waiting For?
Nickelback	This Afternoon
Nickelback	Burn it to the Ground
Nickelback	Rockstar
Nicki Minaj	Seeing Green (with Drake & Lil Wayne)
Nicki Minaj	Yikes
Nicki Minaj	Good Form
Nicki Minaj	The Night Is Still Young
Nicki Minaj	Anaconda [Clean Edit]
Nicki Minaj	Pills N Potions
Nicki Minaj	Pound The Alarm
Nicki Minaj	Starships
Nicki Minaj	Did it on Em
Nicki Minaj	Super Bass
Nicki Minaj	Your Love
Nicki Minaj f./Skylar Grey	Bed Of Lies
Nicki Minaj feat. Drake	Moment 4 Life
Nicki Minaj ft Beyonce	Feeling Myself
Nicki Minaj ft. Drake & Lil Wayne	Truffle Butter
Nicki Minaj ft. Drake, Lil Wayne & Chris Brown	Only
Nicki Minaj ft. Lil Wayne	High School
Nicki Minaj ft. Lil Wayne	Roman's Revenge
Nicki Minaj ft. Lil Wayne	I Get Crazy
Nicki Minaj ft. Rihanna	Fly
Nicki Minaj ft. Will I Am	Check it Out
NLE Choppa	Narrow Road (feat. Lil Baby)
NLE Choppa	Camelot
NLE Choppa	Shotta Flow
NLE Choppa Featuring Roddy Ricch	Walk Em Down
Normani	Wild Side (feat. Cardi B)
Nova Rockafeller	Made In Gold
Nsg, Tion Wayne	Options
O.T. Genasis	Coco
O.T. Genasis feat. Young Dolph	Cut It
Offset	Clout
Offset	Ric Flair Drip
OK GO!	You’re a F%$&king Nerd
Olivia Rodrigo	1 step forward, 3 steps back
Olivia Rodrigo	brutal
Olivia Rodrigo	deja vu
Olivia Rodrigo	drivers license
Olivia Rodrigo	enough for you
Olivia Rodrigo	favorite crime
Olivia Rodrigo	good 4 u
Olivia Rodrigo	happier
Olivia Rodrigo	hope ur ok
Olivia Rodrigo	jealousy, jealousy
Olivia Rodrigo	traitor
Omarion ft. Chris Brown & Jhene Aiko	Post to Be
Pardison Fontaine feat. Cardi B	Backin’ It Up
PARTYNEXTDOOR, Rihanna	BELIEVE IT
Petey Pablo	Freek-A-Leek
Petey Pablo	Raise Up
Pharrell Williams	Come Get It Bae
Pink	F**Kin' Perfect
Pink	Raise Your Glass
Pink	Get this party Started
Pink Sweat$	At My Worst
Pink, Willow Sage Hart	Cover Me In Sunshine
Pitbull	Taxi
Pitbull   	Back in Time
Pitbull & Ne-Yo	Time of our Lives
Pitbull feat. T-Pain	Hey Baby (Drop It To The Floor)
Pitbull ft. G.R.L.	Wild Wild Love
Pitbull Ft. John Ryan	Fireball
Pitbull ft. TJR	Don't Stop the Party
Playboi Carti	Slay3r
Polo G	21
Polo G	Be Something (feat. Lil Baby)
Polo G	Black Hearted
Polo G	Clueless (with Pop Smoke & Fivio Foreign)
Polo G	Epidemic
Polo G	Flex (feat. Juice WRLD)
Polo G	GANG GANG (with Lil Wayne)
Polo G	Martin & Gina
Polo G	No Return (with The Kid LAROI & Lil Durk)
Polo G	Painting Pictures
Polo G	RAPSTAR
Polo G 	Pop Out
Polo G, Stunna 4 Vegas, NLE Choppa, Mike WiLL Made-It	Go Stupid
Pooh Shiesty	Back In Blood (feat. Lil Durk)
Pop Smoke	44 BullDog
Pop Smoke	Aim For The Moon (feat. Quavo)
Pop Smoke	AP - Music from the film Boogie
Pop Smoke	Bad Bitch From Tokyo (Intro)
Pop Smoke	Bout A Million (feat. 42 Dugg & 21 Savage)
Pop Smoke	Brush Em (feat. Rah Swish)
Pop Smoke	Coupe
Pop Smoke	Creature (feat. Swae Lee)
Pop Smoke	Demeanor (feat. Dua Lipa)
Pop Smoke	Enjoy Yourself (feat. Karol G)
Pop Smoke	Gangstas
Pop Smoke	Genius (feat. Lil Tjay & Swae Lee)
Pop Smoke	Got It On Me
Pop Smoke	Hello (feat. A Boogie Wit da Hoodie)
Pop Smoke	Manslaughter (feat. Rick Ross & The-Dream)
Pop Smoke	More Time
Pop Smoke	Snitching (feat. Quavo & Future)
Pop Smoke	Something Special
Pop Smoke	Tell The Vision (feat. Kanye West & Pusha T)
Pop Smoke	Tunnel Vision (Outro)
Pop Smoke	West Coast Sh*t (feat. Tyga & Quavo)
Pop Smoke	What You Know Bout Love
Pop Smoke	Woo Baby (feat. Chris Brown)
Pop Smoke	Yea Yea
Pop Smoke 	Dior
Pop Smoke Featuring 50 Cent & Roddy Ricch	The Woo
Pop Smoke Featuring Lil Baby & DaBaby	For The Night
Pop Smoke Featuring Lil Tjay	Mood Swings
Pop Smoke, Rowdy Rebel	Make It Rain
Post Malone	Circles
Post Malone	Motley Crew
Post Malone	Rockstar (feat. 21 Savage)
Post Malone	Wow
Post Malone	Enemies (feat. DaBaby)
Post Malone	Goodbyes
Post Malone	Saint-Tropez
Post Malone	Better Now
Post Malone	Psycho
Post Malone	White Iverson
Prince Royce ft. Pitbull	Back It Up
Prince Royce ft. Snoop Dogg	Stuck On A Feeling
Psy ft. Snoop Dogg	Hangover
Quality Control	Baby
Rae Sremmurd	Powerglide (From SR3MM)
Rae Sremmurd	Come Get Her
Rae Sremmurd	No Type
Rae Sremmurd f./Gucci Mane	Black Beatles
Rae Sremmurd ft. Nicki Minaj & Young Thug	Throw Sun Mo
Raquel Castro	Young & Dumb
Redone Ft. Enrique Iglesias, R. City, Serayah & Shaggy	Don't You Need Somebody
Regard	Ride It
Regard, RAYE	Secrets
